Name of State,Confirmed,Cured,Deaths,Latitude,Longitude
Andhra Pradesh,0,0,0,14.7504291,78.57002559
Arunachal Pradesh,0,0,0,27.10039878,93.61660071
Assam,0,0,0,26.244156,92.537842
Bihar,0,0,0,25.78541445,87.4799727
Chhattisgarh,0,0,0,21.295132,81.828232
Delhi,0,0,0,28.6699929,77.23000403
Goa,0,0,0,15.491997,73.81800065
Gujarat,0,0,0,22.309425,72.13623
Haryana,0,0,0,29.238478,76.431885
Himachal Pradesh,0,0,0,32.084206,77.571167
Jammu and Kashmir,0,0,0,34.29995933,74.46665849
Jharkhand,0,0,0,23.80039349,86.41998572
Karnataka,0,0,0,15.317277,75.71389
Kerala,0,0,0,10.850516,76.27108
Madhya Pradesh,0,0,0,23.473324,77.947998
Maharashtra,0,0,0,19.601194,75.552979
Manipur,0,0,0,24.79997072,93.95001705
Meghalaya,0,0,0,25.57049217,91.8800142
Mizoram,0,0,0,23.71039899,92.72001461
Odisha,0,0,0,20.94092,84.803467
Puducherry,0,0,0,11.93499371,79.83000037
Punjab,0,0,0,31.51997398,75.98000281
Rajasthan,0,0,0,27.391277,73.432617
Tamil Nadu,0,0,0,11.059821,78.387451
Telengana,0,0,0,17.874857,78.100815
Tripura,0,0,0,23.745127,91.746826
Uttarakhand,0,0,0,30.32040895,78.05000565
Uttar Pradesh,0,0,0,28.207609,79.82666
West Bengal,0,0,0,22.978624,87.747803
