Name of State,Confirmed,Cured,Deaths,Latitude,Longitude
Andhra Pradesh,955,145,29,14.7504291,78.57002559
Arunachal Pradesh,1,1,0,27.10039878,93.61660071
Assam,36,19,1,26.244156,92.537842
Bihar,176,46,2,25.78541445,87.4799727
Chhattisgarh,36,28,0,21.295132,81.828232
Delhi,2376,808,50,28.6699929,77.23000403
Goa,7,7,0,15.491997,73.81800065
Gujarat,2624,258,112,22.309425,72.13623
Haryana,272,156,3,29.238478,76.431885
Himachal Pradesh,40,18,1,32.084206,77.571167
Jammu and Kashmir,427,92,5,34.29995933,74.46665849
Jharkhand,55,8,3,23.80039349,86.41998572
Karnataka,463,150,18,15.317277,75.71389
Kerala,448,324,3,10.850516,76.27108
Madhya Pradesh,1852,203,83,23.473324,77.947998
Maharashtra,6430,840,283,19.601194,75.552979
Manipur,2,2,0,24.79997072,93.95001705
Meghalaya,12,0,1,25.57049217,91.8800142
Mizoram,1,0,0,23.71039899,92.72001461
Odisha,90,33,1,20.94092,84.803467
Puducherry,7,3,0,11.93499371,79.83000037
Punjab,277,65,16,31.51997398,75.98000281
Rajasthan,1964,230,27,27.391277,73.432617
Tamil Nadu,1683,752,20,11.059821,78.387451
Telengana,984,253,26,17.874857,78.100815
Tripura,2,1,0,23.745127,91.746826
Uttarakhand,47,24,0,30.32040895,78.05000565
Uttar Pradesh,1604,206,24,28.207609,79.82666
West Bengal,514,103,15,22.978624,87.747803
